,Date,CNYKRW
0,2019-12-05,168.8
1,2019-12-04,169.07
2,2019-12-03,168.4
3,2019-12-02,168.34
4,2019-11-29,167.98
5,2019-11-28,167.71
6,2019-11-27,167.81
7,2019-11-26,167.25
8,2019-11-25,167.36
9,2019-11-22,167.31
10,2019-11-21,167.17
11,2019-11-20,166.34
12,2019-11-19,166.04
13,2019-11-18,166.11
14,2019-11-15,166.42
15,2019-11-14,166.67
16,2019-11-13,166.49
17,2019-11-12,166.01
18,2019-11-11,166.26
19,2019-11-08,165.66
20,2019-11-07,165.76
21,2019-11-06,165.45
22,2019-11-05,165.28
23,2019-11-04,165.01
24,2019-11-01,165.73
25,2019-10-31,165.75
26,2019-10-30,165.36
27,2019-10-29,165.37
28,2019-10-28,165.69
29,2019-10-25,166.16
30,2019-10-24,165.94
31,2019-10-23,165.81
32,2019-10-22,165.73
33,2019-10-21,165.84
34,2019-10-18,166.71
35,2019-10-17,166.76
36,2019-10-16,167.39
37,2019-10-15,167.47
38,2019-10-14,167.55
39,2019-10-11,167.16
40,2019-10-10,167.78
41,2019-10-08,167.3
42,2019-10-07,167.9
43,2019-10-04,168.03
44,2019-10-02,168.65
45,2019-10-01,168.07
46,2019-09-30,167.86
47,2019-09-27,168.51
48,2019-09-26,168.42
49,2019-09-25,168.46
50,2019-09-24,168.21
51,2019-09-23,168.18
52,2019-09-20,167.78
53,2019-09-19,168.46
54,2019-09-18,168.22
55,2019-09-17,167.89
56,2019-09-16,167.65
57,2019-09-11,167.98
58,2019-09-10,167.77
59,2019-09-09,167.52
60,2019-09-06,167.94
61,2019-09-05,168.03
62,2019-09-04,168.76
63,2019-09-03,169.31
64,2019-09-02,168.97
65,2019-08-30,169.2
66,2019-08-29,169.59
67,2019-08-28,169.44
68,2019-08-27,169.4
69,2019-08-26,169.78
70,2019-08-23,170.73
71,2019-08-22,170.65
72,2019-08-21,170.2
73,2019-08-20,170.95
74,2019-08-19,171.55
75,2019-08-16,171.82
76,2019-08-14,172.67
77,2019-08-13,172.35
78,2019-08-12,171.68
79,2019-08-09,171.08
80,2019-08-08,170.97
81,2019-08-07,171.62
82,2019-08-06,172.01
83,2019-08-05,171.52
84,2019-08-02,172.36
85,2019-08-01,172.03
86,2019-07-31,171.7
87,2019-07-30,171.52
88,2019-07-29,171.78
89,2019-07-26,172.18
90,2019-07-25,171.86
91,2019-07-24,171.37
92,2019-07-23,171.32
93,2019-07-22,171.18
