,Date,EURKRW
0,2019-12-05,1318.6
1,2019-12-04,1321.37
2,2019-12-03,1317.45
3,2019-12-02,1305.1
4,2019-11-29,1298.35
5,2019-11-28,1298.49
6,2019-11-27,1295.78
7,2019-11-26,1297.25
8,2019-11-25,1295.91
9,2019-11-22,1302.4
10,2019-11-21,1302.63
11,2019-11-20,1295.22
12,2019-11-19,1291.37
13,2019-11-18,1288.87
14,2019-11-15,1287.2
15,2019-11-14,1287.37
16,2019-11-13,1288.09
17,2019-11-12,1282.53
18,2019-11-11,1285.9
19,2019-11-08,1277.24
20,2019-11-07,1281.37
21,2019-11-06,1284.72
22,2019-11-05,1285.7
23,2019-11-04,1295.52
24,2019-11-01,1301.03
25,2019-10-31,1304.51
26,2019-10-30,1297.38
27,2019-10-29,1293.91
28,2019-10-28,1298.79
29,2019-10-25,1305.28
30,2019-10-24,1305.64
31,2019-10-23,1302.73
32,2019-10-22,1306.84
33,2019-10-21,1308.3
34,2019-10-18,1314.81
35,2019-10-17,1311.04
36,2019-10-16,1311.42
37,2019-10-15,1306.88
38,2019-10-14,1308.08
39,2019-10-11,1309.23
40,2019-10-10,1318.09
41,2019-10-08,1314.89
42,2019-10-07,1314.75
43,2019-10-04,1314.9
44,2019-10-02,1318.1
45,2019-10-01,1309.94
46,2019-09-30,1309.67
47,2019-09-27,1312.44
48,2019-09-26,1312.39
49,2019-09-25,1319.71
50,2019-09-24,1313.31
51,2019-09-23,1315.93
52,2019-09-20,1312.4
53,2019-09-19,1322.15
54,2019-09-18,1316.15
55,2019-09-17,1313.08
56,2019-09-16,1307.49
57,2019-09-11,1314.79
58,2019-09-10,1316.03
59,2019-09-09,1315.16
60,2019-09-06,1317.29
61,2019-09-05,1326.72
62,2019-09-04,1329.45
63,2019-09-03,1330.36
64,2019-09-02,1329.63
65,2019-08-30,1335.41
66,2019-08-29,1343.4
67,2019-08-28,1347.37
68,2019-08-27,1348.45
69,2019-08-26,1350.46
70,2019-08-23,1338.7
71,2019-08-22,1340.2
72,2019-08-21,1336.01
73,2019-08-20,1339.81
74,2019-08-19,1343.29
75,2019-08-16,1341.49
76,2019-08-14,1358.49
77,2019-08-13,1372.39
78,2019-08-12,1364.91
79,2019-08-09,1357.68
80,2019-08-08,1354.56
81,2019-08-07,1359.17
82,2019-08-06,1361.98
83,2019-08-05,1358.03
84,2019-08-02,1332.43
85,2019-08-01,1312.24
86,2019-07-31,1318.57
87,2019-07-30,1316.46
88,2019-07-29,1317.52
89,2019-07-26,1318.59
90,2019-07-25,1316.72
91,2019-07-24,1314.5
92,2019-07-23,1318.3
93,2019-07-22,1321.39
94,2019-07-19,1320.97
95,2019-07-18,1321.45
96,2019-07-17,1324.85
97,2019-07-16,1323.57
98,2019-07-15,1330.86
99,2019-07-12,1327.55
100,2019-07-11,1322.98
101,2019-07-10,1325.47
102,2019-07-09,1325.49
103,2019-07-08,1323.75
104,2019-07-05,1319.34
105,2019-07-04,1319.16
106,2019-07-03,1322.43
107,2019-07-02,1319.16
108,2019-07-01,1317.8
109,2019-06-28,1315.25
110,2019-06-27,1316.15
111,2019-06-26,1314.42
112,2019-06-25,1316.22
113,2019-06-24,1318.51
114,2019-06-21,1315.57
115,2019-06-20,1312.96
116,2019-06-19,1318.39
117,2019-06-18,1327.49
118,2019-06-17,1332.02
119,2019-06-14,1335.35
120,2019-06-13,1335.31
121,2019-06-12,1338.92
122,2019-06-11,1337.1
123,2019-06-10,1341.46
124,2019-06-07,1335.23
125,2019-06-05,1326.9
126,2019-06-04,1331.97
127,2019-06-03,1322.45
128,2019-05-31,1328.11
129,2019-05-30,1327.21
130,2019-05-29,1332.52
131,2019-05-28,1330.81
132,2019-05-27,1326.99
133,2019-05-24,1329.08
134,2019-05-23,1326.68
135,2019-05-22,1328.58
136,2019-05-21,1332.01
137,2019-05-20,1333.14
138,2019-05-17,1335.01
139,2019-05-16,1333.69
140,2019-05-15,1333.06
141,2019-05-14,1333.44
142,2019-05-13,1334.28
143,2019-05-10,1323.25
144,2019-05-09,1322.86
