,Date,JPYKRW
0,2019-12-05,1093.42
1,2019-12-04,1097.97
2,2019-12-03,1093.3
3,2019-12-02,1080.76
4,2019-11-29,1077.18
5,2019-11-28,1077.25
6,2019-11-27,1079.14
7,2019-11-26,1080.52
8,2019-11-25,1080.89
9,2019-11-22,1085.36
10,2019-11-21,1082.26
11,2019-11-20,1079.35
12,2019-11-19,1072.05
13,2019-11-18,1068.82
14,2019-11-15,1074.14
15,2019-11-14,1077.36
16,2019-11-13,1073.67
17,2019-11-12,1065.72
18,2019-11-11,1069.51
19,2019-11-08,1058.48
20,2019-11-07,1059.53
21,2019-11-06,1062.7
22,2019-11-05,1062.11
23,2019-11-04,1069.98
24,2019-11-01,1080.26
25,2019-10-31,1078.9
26,2019-10-30,1071.71
27,2019-10-29,1072.69
28,2019-10-28,1076.67
29,2019-10-25,1081.34
30,2019-10-24,1080.22
31,2019-10-23,1081.45
32,2019-10-22,1080.41
33,2019-10-21,1079.39
34,2019-10-18,1086.83
35,2019-10-17,1084.56
36,2019-10-16,1093.94
37,2019-10-15,1096.13
38,2019-10-14,1096.11
39,2019-10-11,1095.71
40,2019-10-10,1112.09
41,2019-10-08,1120.0
42,2019-10-07,1121.15
43,2019-10-04,1121.89
44,2019-10-02,1121.9
45,2019-10-01,1109.88
46,2019-09-30,1111.06
47,2019-09-27,1110.03
48,2019-09-26,1115.76
49,2019-09-25,1118.36
50,2019-09-24,1109.36
51,2019-09-23,1114.52
52,2019-09-20,1100.82
53,2019-09-19,1106.94
54,2019-09-18,1101.46
55,2019-09-17,1101.4
56,2019-09-16,1098.69
57,2019-09-11,1109.31
58,2019-09-10,1110.23
59,2019-09-09,1114.95
60,2019-09-06,1116.67
61,2019-09-05,1125.23
62,2019-09-04,1136.48
63,2019-09-03,1146.47
64,2019-09-02,1139.62
65,2019-08-30,1136.8
66,2019-08-29,1141.92
67,2019-08-28,1148.46
68,2019-08-27,1147.29
69,2019-08-26,1147.81
70,2019-08-23,1135.65
71,2019-08-22,1137.59
72,2019-08-21,1130.63
73,2019-08-20,1137.19
74,2019-08-19,1135.93
75,2019-08-16,1138.53
76,2019-08-14,1144.77
77,2019-08-13,1163.27
78,2019-08-12,1159.46
79,2019-08-09,1146.15
80,2019-08-08,1139.54
81,2019-08-07,1143.89
82,2019-08-06,1143.56
83,2019-08-05,1146.47
84,2019-08-02,1123.49
85,2019-08-01,1090.28
86,2019-07-31,1089.62
87,2019-07-30,1087.53
88,2019-07-29,1090.25
89,2019-07-26,1090.05
90,2019-07-25,1093.32
91,2019-07-24,1090.75
92,2019-07-23,1090.51
93,2019-07-22,1091.54
94,2019-07-19,1092.42
95,2019-07-18,1092.47
96,2019-07-17,1090.84
97,2019-07-16,1091.91
98,2019-07-15,1093.5
